Product Number,Part number,SKU - Description,Price,Category,Category Number
489944,42388,489944-AL.OXIDE SHEET 4 1/2X11(4)G120,2.04,PAINT / SUNDRIES,930
489945,31897,489945-DISCS FLAP 5X7/8 G60,5.14,PAINT / SUNDRIES,930
489946,31927,489946-DISCS FLAP 5X7/8 G80,5.14,PAINT / SUNDRIES,930
489947,31958,489947-DISCS FLAP 5X7/8 G120,5.14,PAINT / SUNDRIES,930
489948,47734,"489948-DISC FIBER 7"" 36G PK3",4.84,PAINT / SUNDRIES,930
489949,47758,"489949-DISC FIBER 7"" 50G PK3",4.84,PAINT / SUNDRIES,930
489950,47789,"489950-DISC FIBER 7"" 80G PK3",4.84,PAINT / SUNDRIES,930
489951,1743.4147.0036,489951-BELT CL. 3X18 G36(2920) 62146,2.01,PAINT / SUNDRIES,930
489951,62139,489951-BELT CL. 3X18 G36(2920) 62146,2.01,PAINT / SUNDRIES,930
489952,1743.4147.0050,489952-BELT CL. 3X18 G50(2920) 62160,1.62,PAINT / SUNDRIES,930
489952,62153,489952-BELT CL. 3X18 G50(2920) 62160,1.72,PAINT / SUNDRIES,930
489953,1743.4147.0080,489953-BELT CL. 3X18 G80 (2920) 62184,1.47,PAINT / SUNDRIES,930
489953,62177,489953-BELT CL. 3X18 G80 (2920) 62184,1.51,PAINT / SUNDRIES,930
489954,1743.4147.0120,489954-BELT CL. 3X18 G120(2920) 62221,1.47,PAINT / SUNDRIES,930
489954,62214,489954-BELT CL. 3X18 G120(2920) 62221,1.58,PAINT / SUNDRIES,930
489955,3395.6683.0036,489955-BELT CLOTH 3X21 G36 SIA 2920,1.58,PAINT / SUNDRIES,930
489955,62238,489955-BELT CLOTH 3X21 G36 SIA 2920,1.68,PAINT / SUNDRIES,930
489956,3395.6683.0050,489956-BELT CLOTH 3X21 G50 SIA 2920,1.54,PAINT / SUNDRIES,930
489956,62276,489956-BELT CLOTH 3X21 G50 SIA 2920,1.65,PAINT / SUNDRIES,930
489957,3395.6683.0080,489957-BELT CLOTH 3X21 G80 SIA 2920,1.47,PAINT / SUNDRIES,930
489957,62313,489957-BELT CLOTH 3X21 G80 SIA 2920,1.58,PAINT / SUNDRIES,930
489958,3395.6683.0100,489958-BELT CL. 3X21 G100(2920) 62344,1.47,PAINT / SUNDRIES,930
489958,62337,489958-BELT CL. 3X21 G100(2920) 62344,2.24,PAINT / SUNDRIES,930
489959,3395.6683.0120,489959-BELT CLOTH 3X21 G120 2920,1.47,PAINT / SUNDRIES,930
